"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-20","96"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-21","93"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-22","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-23","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-24","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-25","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-26","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-27","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-28","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-29",
"USC00026471","PHANTOM RANCH, AZ US","2007-09-30","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-01","77"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-02","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-03","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-04","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-05","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-06","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-07","75"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-08","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-09","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-10","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-11","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-12","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-13","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-14","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-15","85"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-16","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-17","78"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-18","75"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-19","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-20","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-21","69"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-22","72"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-23","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-24","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-25","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-26","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-27","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-28","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-29","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-30","85"
"USC00026471","PHANTOM RANCH, AZ US","2007-10-31","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-01","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-02","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-03","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-04","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-05","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-06","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-07","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-08","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-09","76"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-10","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-11","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-12","78"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-13","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-14","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-15","77"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-16","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-17","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-18","74"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-19","76"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-20","80"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-21","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-22","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-23","59"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-24","61"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-25","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-26","67"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-27","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-28","64"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-29","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-11-30","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-01","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-02","57"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-03","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-04","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-05","60"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-06","56"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-07","65"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-08","61"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-09","54"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-10","52"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-11","47"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-12","54"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-13","49"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-14","48"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-15","50"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-16","50"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-17","53"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-18","57"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-19","57"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-20","57"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-21","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-22","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-23","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-24","52"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-25","53"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-26","53"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-27","49"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-28","48"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-29","48"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-30","59"
"USC00026471","PHANTOM RANCH, AZ US","2007-12-31","59"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-01","49"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-02","52"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-03","50"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-04","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-05","63"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-06","55"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-07","54"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-08","50"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-09","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-10","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-11","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-12","55"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-13","57"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-14","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-15","59"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-16","40"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-17","43"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-18","49"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-19","50"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-20","51"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-21","60"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-22","57"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-23","57"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-24","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-25","55"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-26","57"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-27","47"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-28","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-29","48"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-30","50"
